,SlideName,ScanName,ROILabel,SegmentLabel,SegmentDisplayName,Sample_ID,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,TrimmedReads,StitchedReads,AlignedReads,DeduplicatedReads,SequencingSaturation,UMIQ30,RTSQ30,disease_status,pathology,region,LOQ,NormalizationFactor
77,normal3,normal3_scan,4,PanCK,normal3_scan | 004 | PanCK,DSP-1001250007864-D-A08,15875.799319999998,144,10254,-33559,2348506,2329540,2310862,2209437,295427,87.42064104,0.9944,0.9937,normal,,tubule,14.02885352,0.9576116370000001
78,normal3,normal3_scan,4,neg,normal3_scan | 004 | neg,DSP-1001250007864-D-A09,122888.5698,486,10254,-33559,6458141,6407402,6359958,6044456,844043,86.93055788,0.9945,0.9938,normal,,tubule,37.05525795,0.359104364
79,normal3,normal3_scan,5,PanCK,normal3_scan | 005 | PanCK,DSP-1001250007864-D-A10,23311.316609999998,199,21917,-29257,3031498,3009545,2988751,2877361,380203,87.45824671,0.9946,0.9939,normal,,tubule,17.12380007,0.749435194
80,normal3,normal3_scan,6,neg,normal3_scan | 006 | neg,DSP-1001250007864-D-B01,77969.64703,341,7360,-27919,7537862,7452728,7389902,7032210,604396,91.98186435,0.9927,0.9918,normal,,tubule,23.17780012,0.492485985
81,normal3,normal3_scan,7,Geometric Segment,normal3_scan | 007 | Geometric Segment,DSP-1001250007864-D-B02,27983.32741,126,22237,-7048,4097634,4063835,4029758,3872474,340051,91.7012842,0.9944,0.9937,normal,healthy,glomerulus,18.04090668,0.861850473
82,normal3,normal3_scan,8,Geometric Segment,normal3_scan | 008 | Geometric Segment,DSP-1001250007864-D-B03,23475.44217,117,26360,-7818,2451411,2432054,2412667,2319903,224773,90.83087251,0.9944,0.9937,normal,healthy,glomerulus,13.08529699,1.2312149620000001
83,normal3,normal3_scan,9,Geometric Segment,normal3_scan | 009 | Geometric Segment,DSP-1001250007864-D-B04,14662.851719999999,78,27147,-5512,1680845,1667336,1652319,1585519,140511,91.64045465,0.9946,0.9939,normal,healthy,glomerulus,9.114865434,1.9152232740000001
84,normal3,normal3_scan,10,Geometric Segment,normal3_scan | 010 | Geometric Segment,DSP-1001250007864-D-B05,24797.64544,145,28882,-5358,2865554,2844391,2822804,2715983,245838,91.42092594,0.9948,0.9941,normal,healthy,glomerulus,13.59801261,1.149133965
85,normal3,normal3_scan,11,Geometric Segment,normal3_scan | 011 | Geometric Segment,DSP-1001250007864-D-B06,24350.45573,128,26335,-10453,3040227,3000284,2968560,2849333,257872,91.51800178,0.9924,0.9909,normal,healthy,glomerulus,12.60844093,1.077313092
86,normal3,normal3_scan,12,Geometric Segment,normal3_scan | 012 | Geometric Segment,DSP-1001250007864-D-B07,22468.41808,120,25277,-11931,3014033,2989763,2961392,2841642,232655,92.28094052,0.9947,0.9940000000000001,normal,healthy,glomerulus,13.79506814,1.2312149620000001
87,normal3,normal3_scan,13,Geometric Segment,normal3_scan | 013 | Geometric Segment,DSP-1001250007864-D-B08,25761.903280000002,158,24774,-14269,2576110,2551962,2525411,2421231,214075,91.68998995,0.9939,0.9931,normal,healthy,glomerulus,13.17377036,1.325923805
88,normal3,normal3_scan,14,Geometric Segment,normal3_scan | 014 | Geometric Segment,DSP-1001250007864-D-B09,23327.93897,127,26774,-13654,3155597,3129610,3100761,2978367,252057,92.01238308,0.9943,0.9935,normal,healthy,glomerulus,13.40983735,1.149133965
89,normal3,normal3_scan,15,Geometric Segment,normal3_scan | 015 | Geometric Segment,DSP-1001250007864-D-B10,26355.95066,146,23786,-16324,3458205,3429351,3401751,3266346,286784,91.70714287,0.9943,0.9936,normal,healthy,glomerulus,16.07622796,1.013941733
90,normal3,normal3_scan,16,Geometric Segment,normal3_scan | 016 | Geometric Segment,DSP-1001250007864-D-B11,25468.51068,151,23136,-17600,3810906,3781174,3745199,3588026,288337,92.43389892,0.9946,0.9938,normal,healthy,glomerulus,16.73186995,1.013941733
